,Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,Demand_weight
1188,R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.000117
1189,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,2.9e-05
1190,R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,1.1e-05
1191,R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,9.3e-05
1192,R1 - AM Lisboa,Setúbal,Moita,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.000167
1193,R1 - AM Lisboa,Setúbal,Montijo,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,6e-06
1194,R1 - AM Lisboa,Setúbal,Palmela,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,3.5e-05
1195,R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,2e-06
1196,R2 - AM Porto,Aveiro,Espinho,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.014908
1197,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.012317
1198,R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.030481
1199,R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.010628
1200,R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.012533
1201,R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.03676
1202,R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.049839
1203,R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.05377
1204,R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.113192
1205,R2 - AM Porto,Porto,Trofa,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.001175
1206,R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.133503
1207,R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.385262
1208,R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.016718
1209,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,3.1e-05
1210,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,1.5e-05
1211,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,7e-06
1212,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,0.000171
1213,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,4.7e-05
1214,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,0.000638
1215,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,5e-06
1216,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,1.3e-05
1217,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,1.9e-05
1218,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,1.3e-05
1219,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,4.9e-05
1220,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,2.4e-05
1221,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,7e-06
1222,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,1e-05
1223,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,2.1e-05
1224,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,3.8e-05
1225,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,7e-05
1226,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,0.0
1227,R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,0.000384
1228,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,0.0
1229,R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,2.6e-05
1230,R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.000146
1231,R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,6.8e-05
1232,R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,7.1e-05
1233,R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,1.4e-05
1234,R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,6e-06
1235,R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.000285
1236,R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,1e-05
1237,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,6.6e-05
1238,R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.000105
1239,R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.000169
1240,R1 - AM Lisboa,Setúbal,Montijo,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.00018
1241,R1 - AM Lisboa,Setúbal,Palmela,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,7.2e-05
1242,R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.000183
1243,R1 - AM Lisboa,Setúbal,Setúbal,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,1e-05
1244,R2 - AM Porto,Aveiro,Espinho,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.439698
1245,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.007373
1246,R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.488625
1247,R2 - AM Porto,Aveiro,São João da Madeira,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.005095
1248,R2 - AM Porto,Aveiro,Vale de Cambra,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,9.6e-05
1249,R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.033397
1250,R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.031671
1251,R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.009734
1252,R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.001506
1253,R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.052283
1254,R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.042293
1255,R2 - AM Porto,Porto,Trofa,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.001374
1256,R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.02767
1257,R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.037849
1258,R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.15011
1259,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,2.6e-05
1260,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,7e-06
1261,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,3e-06
1262,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,3.4e-05
1263,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,7e-06
1264,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,1e-06
1265,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,4.3e-05
1266,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,1.7e-05
1267,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,2e-06
1268,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,2e-06
1269,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,6e-05
1270,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,1e-06
1271,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,2e-06
1272,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,1e-06
1273,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,0.0
1274,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,0.0
1275,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,0.0
1276,R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VALONGO,Valongo,2.4e-05
1277,R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VALONGO,Valongo,3.2e-05
1278,R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VALONGO,Valongo,1e-06
1279,R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,VALONGO,Valongo,0.0
1280,R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,VALONGO,Valongo,8e-06
1281,R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,VALONGO,Valongo,1e-05
1282,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,VALONGO,Valongo,1e-06
1283,R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,VALONGO,Valongo,1e-06
1284,R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,VALONGO,Valongo,1e-06
1285,R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,VALONGO,Valongo,0.003259
1286,R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,VALONGO,Valongo,0.000408
1287,R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,VALONGO,Valongo,1.2e-05
1288,R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,VALONGO,Valongo,0.093906
1289,R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,VALONGO,Valongo,7.6e-05
1290,R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,VALONGO,Valongo,0.112316
1291,R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,VALONGO,Valongo,0.000516
1292,R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,Ramalde,2.3e-05
1293,R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,Ramalde,4.4e-05
1294,R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PORTO,Ramalde,5.5e-05
1295,R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,PORTO,Ramalde,0.0
1296,R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,Ramalde,1e-06
1297,R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PORTO,Ramalde,0.0
1298,R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,PORTO,Ramalde,5e-06
1299,R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,PORTO,Ramalde,1e-06
1300,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,PORTO,Ramalde,0.0
1301,R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,PORTO,Ramalde,2e-06
1302,R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,PORTO,Ramalde,1e-06
1303,R1 - AM Lisboa,Setúbal,Moita,R2 - AM Porto,PORTO,PORTO,Ramalde,3.6e-05
1304,R1 - AM Lisboa,Setúbal,Montijo,R2 - AM Porto,PORTO,PORTO,Ramalde,6e-06
1305,R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,PORTO,Ramalde,2e-06
1306,R1 - AM Lisboa,Setúbal,Sesimbra,R2 - AM Porto,PORTO,PORTO,Ramalde,9.8e-05
1307,R2 - AM Porto,Aveiro,Espinho,R2 - AM Porto,PORTO,PORTO,Ramalde,0.000285
1308,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R2 - AM Porto,PORTO,PORTO,Ramalde,2.7e-05
1309,R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,PORTO,Ramalde,0.001135
1310,R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,PORTO,Ramalde,0.00238
1311,R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,PORTO,Ramalde,0.006214
1312,R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,PORTO,Ramalde,0.009462
1313,R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,PORTO,Ramalde,0.001807
1314,R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,PORTO,Ramalde,0.08997
1315,R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,PORTO,Ramalde,0.027681
1316,R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,PORTO,Ramalde,0.001943
1317,R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,PORTO,Ramalde,0.00385
1318,R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,PORTO,Ramalde,0.002499
1319,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.3e-05
1320,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,1.2e-05
1321,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,4e-06
1322,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.6e-05
1323,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.5e-05
1324,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,7e-06
1325,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,1.7e-05
1326,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.2e-05
1327,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,5e-06
1328,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.000418
1329,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.2e-05
1330,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,8.9e-05
1331,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,7.1e-05
1332,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.000246
1333,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.000627
1334,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.3e-05
1335,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,5e-06
1336,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,1e-06
1337,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.0
1338,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.0
1339,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,1e-06
1340,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,1e-06
1341,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.0
1342,R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,1.9e-05
1343,R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,3.5e-05
1344,R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,4e-05
1345,R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.0
1346,R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,4e-06
1347,R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.0
1348,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,1e-06
1349,R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.0
1350,R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,3e-06
1351,R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,3e-06
1352,R2 - AM Porto,Aveiro,Espinho,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,2.7e-05
1353,R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.00037
1354,R2 - AM Porto,Aveiro,Vale de Cambra,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,9.9e-05
1355,R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.000975
1356,R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.054146
1357,R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.020598
1358,R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.12251
1359,R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.001355
1360,R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,2.7e-05
1361,R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.001073
1362,R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.002424
1363,R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.000497
1364,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",1.6e-05
1365,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",1.1e-05
1366,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",4e-06
1367,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",0.000202
1368,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",5e-06
1369,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",1.5e-05
1370,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",0.0
1371,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",1.1e-05
1372,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",6.7e-05
1373,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",1.3e-05
1374,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",6e-06
1375,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",3.4e-05
1376,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",3.4e-05
1377,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",0.000136
1378,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",3e-06
1379,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",5e-06
1380,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",2.5e-05
1381,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",0.0
1382,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",2e-06
1383,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Ramada e Caneças,1.6e-05
1384,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Ramada e Caneças,5e-06
1385,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Ramada e Caneças,3e-06
