Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,Demand_weight
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,3.4e-05
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,7.5e-05
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,1e-05
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,0.001141
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,8.8e-05
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,0.000206
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,6e-06
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,0.000244
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,0.000893
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,0.001921
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,7.5e-05
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,1.2e-05
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,1e-06
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,0.0
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,0.0
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,1e-06
R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,4e-06
R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,0.0
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,3.8e-05
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.000163
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,9.9e-05
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,1.2e-05
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,7.7e-05
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,3e-06
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.000117
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,2.9e-05
R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,1.1e-05
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,9.3e-05
R1 - AM Lisboa,Setúbal,Moita,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.000167
R1 - AM Lisboa,Setúbal,Montijo,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,6e-06
R1 - AM Lisboa,Setúbal,Palmela,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,3.5e-05
R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,2e-06
R2 - AM Porto,Aveiro,Espinho,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.014908
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.012317
R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.030481
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.010628
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.012533
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.03676
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.049839
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.05377
R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.113192
R2 - AM Porto,Porto,Trofa,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.001175
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.133503
R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.385262
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.016718
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,3.1e-05
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,1.5e-05
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,7e-06
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,0.000171
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,4.7e-05
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,0.000638
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,5e-06
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,1.3e-05
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,1.9e-05
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,1.3e-05
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,4.9e-05
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,2.4e-05
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,7e-06
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,1e-05
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,2.1e-05
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,3.8e-05
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,7e-05
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,0.0
R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,0.000384
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,0.0
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,2.6e-05
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.000146
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,6.8e-05
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,7.1e-05
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,1.4e-05
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,6e-06
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.000285
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,1e-05
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,6.6e-05
R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.000105
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.000169
R1 - AM Lisboa,Setúbal,Montijo,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.00018
R1 - AM Lisboa,Setúbal,Palmela,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,7.2e-05
R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.000183
R1 - AM Lisboa,Setúbal,Setúbal,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,1e-05
R2 - AM Porto,Aveiro,Espinho,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.439698
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.007373
R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.488625
R2 - AM Porto,Aveiro,São João da Madeira,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.005095
R2 - AM Porto,Aveiro,Vale de Cambra,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,9.6e-05
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.033397
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.031671
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.009734
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.001506
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.052283
R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.042293
R2 - AM Porto,Porto,Trofa,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.001374
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.02767
R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.037849
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.15011
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,2.6e-05
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,7e-06
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,3e-06
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,3.4e-05
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,7e-06
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,1e-06
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,4.3e-05
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,1.7e-05
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,2e-06
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,2e-06
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,6e-05
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,1e-06
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,2e-06
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,1e-06
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,0.0
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,0.0
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,0.0
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VALONGO,Valongo,2.4e-05
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VALONGO,Valongo,3.2e-05
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VALONGO,Valongo,1e-06
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,VALONGO,Valongo,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,VALONGO,Valongo,8e-06
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,VALONGO,Valongo,1e-05
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,VALONGO,Valongo,1e-06
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,VALONGO,Valongo,1e-06
R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,VALONGO,Valongo,1e-06
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,VALONGO,Valongo,0.003259
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,VALONGO,Valongo,0.000408
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,VALONGO,Valongo,1.2e-05
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,VALONGO,Valongo,0.093906
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,VALONGO,Valongo,7.6e-05
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,VALONGO,Valongo,0.112316
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,VALONGO,Valongo,0.000516
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,Ramalde,2.3e-05
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,Ramalde,4.4e-05
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PORTO,Ramalde,5.5e-05
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,PORTO,Ramalde,0.0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,Ramalde,1e-06
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PORTO,Ramalde,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,PORTO,Ramalde,5e-06
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,PORTO,Ramalde,1e-06
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,PORTO,Ramalde,0.0
R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,PORTO,Ramalde,2e-06
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,PORTO,Ramalde,1e-06
R1 - AM Lisboa,Setúbal,Moita,R2 - AM Porto,PORTO,PORTO,Ramalde,3.6e-05
R1 - AM Lisboa,Setúbal,Montijo,R2 - AM Porto,PORTO,PORTO,Ramalde,6e-06
R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,PORTO,Ramalde,2e-06
R1 - AM Lisboa,Setúbal,Sesimbra,R2 - AM Porto,PORTO,PORTO,Ramalde,9.8e-05
R2 - AM Porto,Aveiro,Espinho,R2 - AM Porto,PORTO,PORTO,Ramalde,0.000285
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R2 - AM Porto,PORTO,PORTO,Ramalde,2.7e-05
R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,PORTO,Ramalde,0.001135
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,PORTO,Ramalde,0.00238
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,PORTO,Ramalde,0.006214
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,PORTO,Ramalde,0.009462
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,PORTO,Ramalde,0.001807
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,PORTO,Ramalde,0.08997
R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,PORTO,Ramalde,0.027681
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,PORTO,Ramalde,0.001943
R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,PORTO,Ramalde,0.00385
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,PORTO,Ramalde,0.002499
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.3e-05
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,1.2e-05
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,4e-06
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.6e-05
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.5e-05
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,7e-06
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,1.7e-05
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.2e-05
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,5e-06
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.000418
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.2e-05
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,8.9e-05
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,7.1e-05
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.000246
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.000627
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.3e-05
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,5e-06
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,1e-06
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.0
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.0
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,1e-06
R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,1e-06
R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,0.0
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,1.9e-05
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,3.5e-05
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,4e-05
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.0
R1 - AM Lisboa,Lisboa,Oeiras,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,4e-06
R1 - AM Lisboa,Lisboa,Sintra,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,1e-06
R1 - AM Lisboa,Setúbal,Almada,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.0
R1 - AM Lisboa,Setúbal,Barreiro,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,3e-06
R1 - AM Lisboa,Setúbal,Seixal,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,3e-06
R2 - AM Porto,Aveiro,Espinho,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,2.7e-05
R2 - AM Porto,Aveiro,Santa Maria da Feira,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.00037
R2 - AM Porto,Aveiro,Vale de Cambra,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,9.9e-05
R2 - AM Porto,Porto,Gondomar,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.000975
R2 - AM Porto,Porto,Maia,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.054146
R2 - AM Porto,Porto,Matosinhos,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.020598
R2 - AM Porto,Porto,Paredes,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.12251
R2 - AM Porto,Porto,Porto,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.001355
R2 - AM Porto,Porto,Póvoa de Varzim,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,2.7e-05
R2 - AM Porto,Porto,Valongo,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.001073
R2 - AM Porto,Porto,Vila do Conde,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.002424
R2 - AM Porto,Porto,Vila Nova de Gaia,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,0.000497
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",1.6e-05
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",1.1e-05
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",4e-06
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",0.000202
